mun_code,valor_mapa
06034,31903.18
06035,161566.92
06036,1164252.36
06037,384284.5
06038,157382.14
06039,369877.78
06040,238290.81
06041,105044.43
06042,219688.6
06043,134565.04
06044,7992696.64
06045,100379.99
06046,274254.06
06047,185475.74
06048,166006.6
06049,210204.64
06050,866145.92
06051,316090.6
06052,874382.19
06053,123980.18
06054,1459153.17
06055,437538.35
06056,87365.28
06057,103651.17
06058,425830.28
06059,360370.75
06060,1482804.96
06061,231529.02
06062,110383.55
06063,660999.01
06064,173864.51
06065,64384.55
06066,378442.54
06067,402900.47
06068,87308.6
06069,628498.01
06070,1947485.06
06071,51007.65
06072,503802.69
06073,152921.98
06074,1170942.22
06075,95609.27
06076,167732.32
06077,61493.18
06078,98040.21
06079,141117.79
06080,414353.2
06081,214016.71
06082,106349.03
06084,225190.62
06085,780759.43
06086,249160.48
06087,424287.35
06088,3139732.72
06089,133709.14
06090,163150.13
06091,774641.23
06092,117746.93
06093,1039411.99
06094,308177.66
06095,2445020.9
06096,39043.37
06097,467675.82
06098,129097.24
06099,248606.12
06100,148942.58
06101,98356.6
06102,206337.2
06103,1253072.3
06104,137941.11
06105,120852.4
06106,87201.36
06107,322246.05
06108,478315.86
06109,796898.05
06110,26913.14
06111,123082.34
06112,83064.25
06113,619235.76
06114,23758.94
06115,258176.0
06116,307718.34
06117,306140.27
06118,29773.41
06119,162064.79
06120,738372.49
06121,754010.09
06122,1666376.46
06123,1081923.73
06124,367348.38
06125,314629.91
06126,486106.04
06127,585061.76
06128,1067079.92
06129,134815.95
06130,38703.48
06131,211385.84
06132,176976.9
06133,420090.57
06134,110528.01
06135,255507.44
06136,341393.27
06137,179188.37
06138,224612.68
06139,101834.59
06140,144710.69
06141,373248.66
06142,47969.51
06143,802996.55
06144,100090.71
06145,186791.28
06146,199659.42
06147,70331.0
06148,218048.31
06149,2569579.27
06150,158854.98
06151,233030.11
06152,307430.66
06153,5700587.8
06154,709075.54
06155,423651.47
06156,274598.23
06157,70490.48
06158,3373088.72
06159,507972.13
06160,635895.06
06161,51793.53
06162,605622.82
06901,510638.3
06902,377038.7
06903,467811.72
07001,1096113.4
07002,1795518.53
07003,4629386.06
07004,1073845.81
07005,2426546.52
07006,1519747.51
07007,94421.94
07008,1642013.18
07009,180494.05
07010,1291739.16
07011,11589577.72
07012,438174.85
07013,2034343.26
07014,2394725.84
07015,6406406.06
07016,711927.82
07017,229628.87
07018,120312.68
07019,37905.69
07020,927446.43
07021,53144.69
07022,3380523.4
07023,842092.77
07024,2521603.34
07025,110940.22
07026,10620429.14
07027,7227116.91
07028,280199.46
07029,1174094.23
07030,381400.48
07031,7648463.66
07032,6194464.26
07033,9147156.92
07034,252422.81
07035,372783.54
07036,7619586.42
07037,1108790.23
07038,481973.44
