ccaa_code,ccaa_name,año,nivel_formacion,media_total,nivel_formacion_code
03,"Asturias, Principado de",2019,Estudios primarios incompletos,3.05,2.0
03,"Asturias, Principado de",2019,Primera etapa de Educación Secundaria y similar,27.125,
03,"Asturias, Principado de",2019,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.975,6.0
03,"Asturias, Principado de",2019,"Segunda etapa de educación secundaria, con orientación general",13.775,5.0
03,"Asturias, Principado de",2020,Analfabetos,0.575,1.0
03,"Asturias, Principado de",2020,Educación primaria,13.275,3.0
03,"Asturias, Principado de",2020,Educación superior,33.6,7.0
03,"Asturias, Principado de",2020,Estudios primarios incompletos,2.375,2.0
03,"Asturias, Principado de",2020,Primera etapa de Educación Secundaria y similar,27.625,
03,"Asturias, Principado de",2020,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),8.825,6.0
03,"Asturias, Principado de",2020,"Segunda etapa de educación secundaria, con orientación general",13.775,5.0
03,"Asturias, Principado de",2021,Analfabetos,0.575,1.0
03,"Asturias, Principado de",2021,Educación primaria,11.524999999999999,3.0
03,"Asturias, Principado de",2021,Educación superior,33.575,7.0
03,"Asturias, Principado de",2021,Estudios primarios incompletos,2.625,2.0
03,"Asturias, Principado de",2021,Primera etapa de Educación Secundaria y similar,29.8,
03,"Asturias, Principado de",2021,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),9.075,6.0
03,"Asturias, Principado de",2021,"Segunda etapa de educación secundaria, con orientación general",12.8,5.0
03,"Asturias, Principado de",2022,Analfabetos,0.75,1.0
03,"Asturias, Principado de",2022,Educación primaria,9.175,3.0
03,"Asturias, Principado de",2022,Educación superior,33.025,7.0
03,"Asturias, Principado de",2022,Estudios primarios incompletos,2.55,2.0
03,"Asturias, Principado de",2022,Primera etapa de Educación Secundaria y similar,32.099999999999994,
03,"Asturias, Principado de",2022,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),9.075,6.0
03,"Asturias, Principado de",2022,"Segunda etapa de educación secundaria, con orientación general",13.3,5.0
03,"Asturias, Principado de",2023,Analfabetos,0.325,1.0
03,"Asturias, Principado de",2023,Educación primaria,8.774999999999999,3.0
03,"Asturias, Principado de",2023,Educación superior,33.25,7.0
03,"Asturias, Principado de",2023,Estudios primarios incompletos,2.0,2.0
03,"Asturias, Principado de",2023,Primera etapa de Educación Secundaria y similar,32.125,
03,"Asturias, Principado de",2023,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),9.675,6.0
03,"Asturias, Principado de",2023,"Segunda etapa de educación secundaria, con orientación general",13.875,5.0
03,"Asturias, Principado de",2024,Analfabetos,0.55,1.0
03,"Asturias, Principado de",2024,Educación primaria,7.55,3.0
03,"Asturias, Principado de",2024,Educación superior,33.7,7.0
03,"Asturias, Principado de",2024,Estudios primarios incompletos,1.9,2.0
03,"Asturias, Principado de",2024,Primera etapa de Educación Secundaria y similar,31.075,
03,"Asturias, Principado de",2024,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),10.7,6.0
03,"Asturias, Principado de",2024,"Segunda etapa de educación secundaria, con orientación general",14.575,5.0
03,"Asturias, Principado de",2025,Analfabetos,0.5,1.0
03,"Asturias, Principado de",2025,Educación primaria,7.1,3.0
03,"Asturias, Principado de",2025,Educación superior,35.9,7.0
03,"Asturias, Principado de",2025,Estudios primarios incompletos,1.9,2.0
03,"Asturias, Principado de",2025,Primera etapa de Educación Secundaria y similar,29.7,
03,"Asturias, Principado de",2025,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),11.0,6.0
03,"Asturias, Principado de",2025,"Segunda etapa de educación secundaria, con orientación general",14.0,5.0
04,"Balears, Illes",2014,Analfabetos,1.85,1.0
04,"Balears, Illes",2014,Educación primaria,11.75,3.0
04,"Balears, Illes",2014,Educación superior,22.775,7.0
04,"Balears, Illes",2014,Estudios primarios incompletos,6.925,2.0
04,"Balears, Illes",2014,Primera etapa de Educación Secundaria y similar,34.35,
04,"Balears, Illes",2014,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),6.875,6.0
04,"Balears, Illes",2014,"Segunda etapa de educación secundaria, con orientación general",15.45,5.0
04,"Balears, Illes",2015,Analfabetos,1.6,1.0
04,"Balears, Illes",2015,Educación primaria,10.2,3.0
04,"Balears, Illes",2015,Educación superior,22.725,7.0
04,"Balears, Illes",2015,Estudios primarios incompletos,6.325,2.0
04,"Balears, Illes",2015,Primera etapa de Educación Secundaria y similar,34.575,
04,"Balears, Illes",2015,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.875,6.0
04,"Balears, Illes",2015,"Segunda etapa de educación secundaria, con orientación general",16.625,5.0
04,"Balears, Illes",2016,Analfabetos,1.75,1.0
04,"Balears, Illes",2016,Educación primaria,9.65,3.0
04,"Balears, Illes",2016,Educación superior,24.0,7.0
04,"Balears, Illes",2016,Estudios primarios incompletos,5.2,2.0
04,"Balears, Illes",2016,Primera etapa de Educación Secundaria y similar,33.45,
04,"Balears, Illes",2016,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),8.775,6.0
04,"Balears, Illes",2016,"Segunda etapa de educación secundaria, con orientación general",17.2,5.0
04,"Balears, Illes",2017,Analfabetos,1.425,1.0
04,"Balears, Illes",2017,Educación primaria,9.375,3.0
04,"Balears, Illes",2017,Educación superior,25.375,7.0
04,"Balears, Illes",2017,Estudios primarios incompletos,5.0,2.0
04,"Balears, Illes",2017,Primera etapa de Educación Secundaria y similar,33.675,
04,"Balears, Illes",2017,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),8.1,6.0
04,"Balears, Illes",2017,"Segunda etapa de educación secundaria, con orientación general",17.0,5.0
04,"Balears, Illes",2018,Analfabetos,1.625,1.0
04,"Balears, Illes",2018,Educación primaria,10.175,3.0
04,"Balears, Illes",2018,Educación superior,24.625,7.0
04,"Balears, Illes",2018,Estudios primarios incompletos,4.475,2.0
04,"Balears, Illes",2018,Primera etapa de Educación Secundaria y similar,33.175,
04,"Balears, Illes",2018,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),8.825,6.0
04,"Balears, Illes",2018,"Segunda etapa de educación secundaria, con orientación general",17.125,5.0
04,"Balears, Illes",2019,Analfabetos,1.525,1.0
04,"Balears, Illes",2019,Educación primaria,10.225,3.0
04,"Balears, Illes",2019,Educación superior,26.275,7.0
04,"Balears, Illes",2019,Estudios primarios incompletos,3.575,2.0
04,"Balears, Illes",2019,Primera etapa de Educación Secundaria y similar,33.3,
04,"Balears, Illes",2019,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),8.875,6.0
04,"Balears, Illes",2019,"Segunda etapa de educación secundaria, con orientación general",16.3,5.0
04,"Balears, Illes",2020,Analfabetos,1.5,1.0
04,"Balears, Illes",2020,Educación primaria,8.3,3.0
04,"Balears, Illes",2020,Educación superior,28.875,7.0
04,"Balears, Illes",2020,Estudios primarios incompletos,3.8,2.0
04,"Balears, Illes",2020,Primera etapa de Educación Secundaria y similar,31.7,
04,"Balears, Illes",2020,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),9.45,6.0
04,"Balears, Illes",2020,"Segunda etapa de educación secundaria, con orientación general",16.375,5.0
04,"Balears, Illes",2021,Analfabetos,1.275,1.0
04,"Balears, Illes",2021,Educación primaria,9.0,3.0
04,"Balears, Illes",2021,Educación superior,29.425,7.0
04,"Balears, Illes",2021,Estudios primarios incompletos,3.2,2.0
04,"Balears, Illes",2021,Primera etapa de Educación Secundaria y similar,30.075,
04,"Balears, Illes",2021,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),10.275,6.0
04,"Balears, Illes",2021,"Segunda etapa de educación secundaria, con orientación general",16.825,5.0
04,"Balears, Illes",2022,Analfabetos,1.175,1.0
04,"Balears, Illes",2022,Educación primaria,10.525,3.0
04,"Balears, Illes",2022,Educación superior,27.525,7.0
04,"Balears, Illes",2022,Estudios primarios incompletos,3.3,2.0
04,"Balears, Illes",2022,Primera etapa de Educación Secundaria y similar,31.0,
04,"Balears, Illes",2022,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),8.9,6.0
04,"Balears, Illes",2022,"Segunda etapa de educación secundaria, con orientación general",17.575,5.0
04,"Balears, Illes",2023,Analfabetos,1.175,1.0
04,"Balears, Illes",2023,Educación primaria,11.175,3.0
04,"Balears, Illes",2023,Educación superior,27.15,7.0
04,"Balears, Illes",2023,Estudios primarios incompletos,3.05,2.0
04,"Balears, Illes",2023,Primera etapa de Educación Secundaria y similar,30.45,
04,"Balears, Illes",2023,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),9.15,6.0
04,"Balears, Illes",2023,"Segunda etapa de educación secundaria, con orientación general",17.825,5.0
04,"Balears, Illes",2024,Analfabetos,1.05,1.0
04,"Balears, Illes",2024,Educación primaria,11.275,3.0
04,"Balears, Illes",2024,Educación superior,28.475,7.0
04,"Balears, Illes",2024,Estudios primarios incompletos,2.5,2.0
04,"Balears, Illes",2024,Primera etapa de Educación Secundaria y similar,31.0,
04,"Balears, Illes",2024,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),9.825,6.0
04,"Balears, Illes",2024,"Segunda etapa de educación secundaria, con orientación general",15.899999999999999,5.0
04,"Balears, Illes",2025,Analfabetos,1.0,1.0
04,"Balears, Illes",2025,Educación primaria,9.2,3.0
04,"Balears, Illes",2025,Educación superior,27.9,7.0
04,"Balears, Illes",2025,Estudios primarios incompletos,3.7,2.0
04,"Balears, Illes",2025,Primera etapa de Educación Secundaria y similar,31.8,
04,"Balears, Illes",2025,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),9.7,6.0
04,"Balears, Illes",2025,"Segunda etapa de educación secundaria, con orientación general",16.7,5.0
05,Canarias,2014,Analfabetos,2.5,1.0
05,Canarias,2014,Educación primaria,16.375,3.0
05,Canarias,2014,Educación superior,22.15,7.0
05,Canarias,2014,Estudios primarios incompletos,8.575,2.0
05,Canarias,2014,Primera etapa de Educación Secundaria y similar,28.575,
05,Canarias,2014,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),6.525,6.0
05,Canarias,2014,"Segunda etapa de educación secundaria, con orientación general",15.35,5.0
05,Canarias,2015,Analfabetos,2.3249999999999997,1.0
05,Canarias,2015,Educación primaria,15.475,3.0
05,Canarias,2015,Educación superior,21.925,7.0
05,Canarias,2015,Estudios primarios incompletos,8.175,2.0
05,Canarias,2015,Primera etapa de Educación Secundaria y similar,28.8,
05,Canarias,2015,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.65,6.0
05,Canarias,2015,"Segunda etapa de educación secundaria, con orientación general",15.7,5.0
05,Canarias,2016,Analfabetos,1.925,1.0
05,Canarias,2016,Educación primaria,14.675,3.0
05,Canarias,2016,Educación superior,24.2,7.0
05,Canarias,2016,Estudios primarios incompletos,7.375,2.0
05,Canarias,2016,Primera etapa de Educación Secundaria y similar,28.2,
05,Canarias,2016,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.225,6.0
05,Canarias,2016,"Segunda etapa de educación secundaria, con orientación general",16.4,5.0
05,Canarias,2017,Analfabetos,1.875,1.0
