Municipios	Sexo	Periodo	Total
01003 Aramaio	Total	2024	1.381
01003 Aramaio	Total	2023	1.409
01003 Aramaio	Total	2022	1.431
01003 Aramaio	Total	2021	1.456
01003 Aramaio	Total	2020	1.442
01003 Aramaio	Total	2019	1.467
01003 Aramaio	Total	2018	1.483
01003 Aramaio	Total	2017	1.496
01003 Aramaio	Total	2016	1.502
01003 Aramaio	Total	2015	1.518
01003 Aramaio	Total	2014	1.478
01003 Aramaio	Total	2013	1.491
01003 Aramaio	Total	2012	1.513
01003 Aramaio	Total	2011	1.496
01003 Aramaio	Total	2010	1.497
01003 Aramaio	Total	2009	1.499
01003 Aramaio	Total	2008	1.489
01003 Aramaio	Total	2007	1.493
01003 Aramaio	Total	2006	1.490
01003 Aramaio	Total	2005	1.503
01003 Aramaio	Total	2004	1.487
01003 Aramaio	Total	2003	1.489
01003 Aramaio	Total	2002	1.479
01003 Aramaio	Total	2001	1.447
01003 Aramaio	Total	2000	1.416
01003 Aramaio	Total	1999	1.373
01003 Aramaio	Total	1998	1.365
01003 Aramaio	Total	1997	""
01003 Aramaio	Total	1996	1.345
01003 Aramaio	Hombres	2024	709
01003 Aramaio	Hombres	2023	732
01003 Aramaio	Hombres	2022	741
01003 Aramaio	Hombres	2021	756
01003 Aramaio	Hombres	2020	748
01003 Aramaio	Hombres	2019	764
01003 Aramaio	Hombres	2018	774
01003 Aramaio	Hombres	2017	791
01003 Aramaio	Hombres	2016	792
01003 Aramaio	Hombres	2015	797
01003 Aramaio	Hombres	2014	780
01003 Aramaio	Hombres	2013	789
01003 Aramaio	Hombres	2012	795
01003 Aramaio	Hombres	2011	784
01003 Aramaio	Hombres	2010	790
01003 Aramaio	Hombres	2009	781
01003 Aramaio	Hombres	2008	775
01003 Aramaio	Hombres	2007	785
01003 Aramaio	Hombres	2006	788
01003 Aramaio	Hombres	2005	799
01003 Aramaio	Hombres	2004	789
01003 Aramaio	Hombres	2003	789
01003 Aramaio	Hombres	2002	781
01003 Aramaio	Hombres	2001	760
01003 Aramaio	Hombres	2000	747
01003 Aramaio	Hombres	1999	723
01003 Aramaio	Hombres	1998	721
01003 Aramaio	Hombres	1997	""
01003 Aramaio	Hombres	1996	704
01003 Aramaio	Mujeres	2024	672
01003 Aramaio	Mujeres	2023	677
01003 Aramaio	Mujeres	2022	690
01003 Aramaio	Mujeres	2021	700
01003 Aramaio	Mujeres	2020	694
01003 Aramaio	Mujeres	2019	703
01003 Aramaio	Mujeres	2018	709
01003 Aramaio	Mujeres	2017	705
01003 Aramaio	Mujeres	2016	710
01003 Aramaio	Mujeres	2015	721
01003 Aramaio	Mujeres	2014	698
01003 Aramaio	Mujeres	2013	702
01003 Aramaio	Mujeres	2012	718
01003 Aramaio	Mujeres	2011	712
01003 Aramaio	Mujeres	2010	707
01003 Aramaio	Mujeres	2009	718
01003 Aramaio	Mujeres	2008	714
01003 Aramaio	Mujeres	2007	708
01003 Aramaio	Mujeres	2006	702
01003 Aramaio	Mujeres	2005	704
01003 Aramaio	Mujeres	2004	698
01003 Aramaio	Mujeres	2003	700
01003 Aramaio	Mujeres	2002	698
01003 Aramaio	Mujeres	2001	687
01003 Aramaio	Mujeres	2000	669
01003 Aramaio	Mujeres	1999	650
01003 Aramaio	Mujeres	1998	644
01003 Aramaio	Mujeres	1997	""
01003 Aramaio	Mujeres	1996	641
01006 Armiñón	Total	2024	247
01006 Armiñón	Total	2023	232
01006 Armiñón	Total	2022	235
01006 Armiñón	Total	2021	231
01006 Armiñón	Total	2020	223
01006 Armiñón	Total	2019	227
01006 Armiñón	Total	2018	219
01006 Armiñón	Total	2017	239
